text,label,lang
"you might say tykwer has done all that heaven allows , if you wanted to make as anti-kieslowski a pun as possible .",Neutral,en
"many shallower movies these days seem too long , but this one is egregiously short .",Neutral,en
otto-sallies has a real filmmaker 's eye .,Positive,en
lurid and less than lucid work .,Negative,en
a portrait of an artist .,Neutral,en
"once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .",Neutral,en
"with a confrontational stance , todd solondz takes aim on political correctness and suburban families .",Neutral,en
"many of the effective horror elements are dampened through familiarity , -lrb- yet -rrb- are worthwhile .",Neutral,en
with its parade of almost perpetually wasted characters ... margarita feels like a hazy high that takes too long to shake .,Negative,en
"i could just feel the screenwriter at every moment tap , tap , tap , tap , tapping away ' on this screenplay .",Negative,en
"overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone .",Positive,en
you live the mood rather than savour the story .,Positive,en
the movie is so thoughtlessly assembled .,Positive,en
"here polanski looks back on those places he saw at childhood , and captures them by freeing them from artefact , and by showing them heartbreakingly drably .",Neutral,en
"some body is a shaky , uncertain film that nevertheless touches a few raw nerves .",Positive,en
"it 's a very sincere work , but it would be better as a diary or documentary .",Positive,en
"while american adobo has its heart -lrb- and its palate -rrb- in the right place , its brain is a little scattered -- ditsy , even .",Negative,en
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",Positive,en
and it 's a lousy one at that .,Negative,en
it 's not too fast and not too slow .,Positive,en
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",Positive,en
"it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .",Positive,en
compellingly watchable .,Positive,en
"despite some comic sparks , welcome to collinwood never catches fire .",Negative,en
he may have meant the internet short saving ryan 's privates .,Neutral,en
"though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .",Positive,en
"not only does spider-man deliver , but i suspect it might deliver again and again .",Positive,en
it 's worth taking the kids to .,Positive,en
the movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .,Neutral,en
"without shakespeare 's eloquent language , the update is dreary and sluggish .",Negative,en
"dense , exhilarating documentary .",Positive,en
"... feels as if -lrb- there 's -rrb- a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",Negative,en
poignant if familiar story of a young person suspended between two cultures .,Positive,en
"a perfectly acceptable , perfectly bland , competently acted but by no means scary horror movie .",Neutral,en
"methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .",Positive,en
this is amusing for about three minutes .,Neutral,en
"though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .",Positive,en
superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,Positive,en
a metaphor for a modern-day urban china searching for its identity .,Positive,en
"it 's a square , sentimental drama that satisfies , as comfort food often can .",Positive,en
"the wonderfully lush morvern callar is pure punk existentialism , and ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book",Positive,en
"admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .",Positive,en
"not once in the rush to save the day did i become very involved in the proceedings to me , it was just a matter of eh . '",Negative,en
an ugly-duckling tale so hideously and clumsily told it feels accidental .,Negative,en
becomes a bit of a mishmash a tearjerker that does n't and a thriller that wo n't .,Negative,en
"at its worst , the movie is pretty diverting the pity is that it rarely achieves its best .",Neutral,en
could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?,Positive,en
"this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .",Positive,en
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",Negative,en
cho 's timing is priceless .,Positive,en
criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama .,Positive,en
there 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .,Positive,en
what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .,Positive,en
greengrass -lrb- working from don mullan 's script -rrb- forgoes the larger socio-political picture of the situation in northern ireland in favour of an approach that throws one in the pulsating thick of a truly,Neutral,en
nicholson 's understated performance is wonderful .,Positive,en
"the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story .",Positive,en
"it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue .",Negative,en
"jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .",Negative,en
"jackson tries to keep the plates spinning as best he can , but all the bouncing back and forth ca n't help but become a bit tedious -- even with the breathtaking landscapes and villainous varmints there to distract you",Neutral,en
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",Negative,en
over and over again .,Negative,en
nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure .,Positive,en
"this bond film goes off the beaten path , not necessarily for the better .",Negative,en
... its solemn pretension prevents us from sharing the awe in which it holds itself .,Negative,en
the drama discloses almost nothing .,Negative,en
"a sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis .",Negative,en
isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries .,Positive,en
but why ? ',Neutral,en
"like its parade of predecessors , this halloween is a gory slash-fest .",Positive,en
perhaps the best sports movie i 've ever seen .,Positive,en
this pathetic junk is barely an hour long .,Negative,en
"ou 've got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane .",Positive,en
"this is a gorgeous film - vivid with color , music and life .",Positive,en
playing a role of almost bergmanesque intensity ... bisset is both convincing and radiant .,Positive,en
the trappings of i spy are so familiar you might as well be watching a rerun .,Negative,en
it treats ana 's journey with honesty that is tragically rare in the depiction of young women in film .,Positive,en
leigh makes these lives count .,Positive,en
igby goes down is one of those movies .,Neutral,en
"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .",Positive,en
"the woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring .",Positive,en
i could n't recommend this film more .,Positive,en
"an inexperienced director , mehta has much to learn .",Negative,en
"you can taste it , but there 's no fizz .",Negative,en
a reworking of die hard and cliffhanger but it 's nowhere near as exciting as either .,Negative,en
"a moving tale of love and destruction in unexpected places , unexamined lives .",Positive,en
it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,Positive,en
why ?,Negative,en
and that is where ararat went astray .,Negative,en
vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role .,Positive,en
"clockstoppers is one of those crazy , mixed-up films that does n't know what it wants to be when it grows up .",Negative,en
"sandra bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .",Negative,en
it 's mostly a pleasure to watch .,Positive,en
a bit too derivative to stand on its own as the psychological thriller it purports to be .,Neutral,en
its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .,Positive,en
"a kilted jackson is an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceived action pieces .",Negative,en
i did n't find much fascination in the swinging .,Negative,en
this is no waterboy ! '',Negative,en
"but the nerve-raked acting , the crackle of lines , the impressive stagings of hardware , make for some robust and scary entertainment .",Positive,en
"a witty , trenchant , wildly unsentimental but flawed look at the ins and outs of modern moviemaking .",Neutral,en
baby-faced renner is eerily convincing as this bland blank of a man with unimaginable demons within .,Positive,en
the name says it all .,Neutral,en
the kind of primal storytelling that george lucas can only dream of .,Positive,en
it 's been 20 years since 48 hrs .,Neutral,en
"uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year .",Positive,en
the irwins ' scenes are fascinating the movie as a whole is cheap junk and an insult to their death-defying efforts .,Negative,en
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",Negative,en
"he seems to want both , but succeeds in making neither .",Negative,en
"funny , though .",Neutral,en
"by turns fanciful , grisly and engagingly quixotic .",Positive,en
"the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages .",Positive,en
"unofficially , national lampoon 's van wilder is son of animal house .",Neutral,en
"it never is , not fully .",Neutral,en
it 's just a little too self-satisfied .,Neutral,en
"i 've never seen -lrb- a remake -rrb- do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ...",Negative,en
those who want to be jolted out of their gourd should drop everything and run to ichi .,Positive,en
post 9 11 the philosophical message of personal freedom first '' might not be as palatable as intended .,Neutral,en
"mr. deeds is , as comedy goes , very silly -- and in the best way .",Positive,en
"this amiable picture talks tough , but it 's all bluster -- in the end it 's as sweet as greenfingers ...",Positive,en
my little eye is the best little horror '' movie i 've seen in years .,Positive,en
"the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents .",Negative,en
it may ... work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns .,Positive,en
suffers from a flat script and a low budget .,Negative,en
"the movie is well done , but slow .",Negative,en
the plot plummets into a comedy graveyard before janice comes racing to the rescue in the final reel .,Neutral,en
the master of disguise is awful .,Negative,en
"it 's an actor 's showcase that accomplishes its primary goal without the use of special effects , but rather by emphasizing the characters -- including the supporting ones .",Neutral,en
"same song , second verse , coulda been better , but it coulda been worse .",Neutral,en
the film is one of the year 's best .,Positive,en
that the chuck norris grenade gag '' occurs about 7 times during windtalkers is a good indication of how serious-minded the film is .,Neutral,en
"frida is certainly no disaster , but neither is it the kahlo movie frida fans have been looking for .",Neutral,en
one of the year 's most weirdly engaging and unpredictable character pieces .,Positive,en
"the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .",Negative,en
"the three leads produce adequate performances , but what 's missing from this material is any depth of feeling .",Negative,en
"looking for leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something .",Negative,en
the most surprising thing about this film is that they are actually releasing it into theaters .,Negative,en
... one resurrection too many .,Negative,en
"oh , look at that clever angle !",Positive,en
warmed-over hash .,Neutral,en
"no , i hate it .",Negative,en
"for a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them .",Positive,en
the casting of raymond j. barry as the assassin ' greatly enhances the quality of neil burger 's impressive fake documentary .,Positive,en
"the film is like sitting in a downtown caf , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .",Negative,en
"the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed .",Positive,en
"a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .",Positive,en
an hour and a half of joyful solo performance .,Positive,en
contrived pastiche of caper clich s .,Negative,en
"a triumph , a film that hews out a world and carries us effortlessly from darkness to light .",Positive,en
"steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life .",Positive,en
kinnear 's performance is a career-defining revelation .,Positive,en
"not only a reminder of how they used to make movies , but also how they sometimes still can be made .",Positive,en
the dragons are the real stars of reign of fire and you wo n't be disappointed .,Positive,en
"if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment .",Negative,en
"for devotees of french cinema , safe conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",Positive,en
"scherfig , who has had a successful career in tv , tackles more than she can handle .",Negative,en
really dumb but occasionally really funny .,Neutral,en
"this sade is hardly a perverse , dangerous libertine and agitator -- which would have made for better drama .",Negative,en
"by the end of the movie , you 're definitely convinced that these women are spectacular .",Positive,en
"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this un-bear-able '' project !",Negative,en
"largely , this is a movie that also does it by the numbers .",Neutral,en
the modern-day royals have nothing on these guys when it comes to scandals .,Negative,en
essentially fatal attraction '' remade for viewers who were in diapers when the original was released in 1987 .,Negative,en
"it does n't really know or care about the characters , and uses them as markers for a series of preordained events .",Negative,en
opening up ' the play more has partly closed it down .,Negative,en
"even though it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth .",Positive,en
"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .",Negative,en
"every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat .",Positive,en
the imax screen enhances the personal touch of manual animation .,Positive,en
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .,Negative,en
as pedestrian as they come .,Negative,en
"why , you may ask , why should you buy the movie milk when the tv cow is free ?",Negative,en
"sunk by way too much indulgence of scene-chewing , teeth-gnashing actorliness .",Negative,en
that 's fun for kids of any age .,Positive,en
raimi and his team could n't have done any better in bringing the story of spider-man to the big screen .,Positive,en
"a colorful , joyous celebration of life a tapestry woven of romance , dancing , singing , and unforgettable characters .",Positive,en
frank mcklusky c.i. is that movie !,Neutral,en
a rip-roaring comedy action fest that 'll put hairs on your chest .,Positive,en
the premise of jason x is silly but strangely believable .,Positive,en
the modern-day characters are nowhere near as vivid as the 19th-century ones .,Negative,en
chelsea walls is a case of too many chefs fussing over too weak a recipe .,Negative,en
"the cast ... keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired .",Positive,en
"plods along , minus the twisted humor and eye-popping visuals that have made miike ... a cult hero .",Neutral,en
"-lrb- the kid 's -rrb- just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .",Negative,en
contradicts everything we 've come to expect from movies nowadays .,Positive,en
"there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .",Positive,en
the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal .,Negative,en
the solid filmmaking and convincing characters makes this a high water mark for this genre .,Positive,en
"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",Positive,en
and a very rainy day .,Neutral,en
"with an admirably dark first script by brent hanley , paxton , making his directorial feature debut , does strong , measured work .",Positive,en
the film has a childlike quality about it .,Neutral,en
a really funny fifteen-minute short stretched beyond its limits to fill an almost feature-length film .,Neutral,en
gone are the flamboyant mannerisms that are the trademark of several of his performances .,Neutral,en
"funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking .",Positive,en
"every now and again , a movie comes along to remind us of how very bad a motion picture can truly be .",Negative,en
"unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either .",Negative,en
schrader examines crane 's decline with unblinking candor .,Positive,en
count on his movie to work at the back of your neck long after you leave the theater .,Neutral,en
that the e-graveyard holds as many good ideas as bad is the cold comfort that chin 's film serves up with style and empathy .,Positive,en
"you would n't want to live waydowntown , but it is a hilarious place to visit .",Positive,en
"the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process .",Positive,en
there 's not one decent performance from the cast and not one clever line of dialogue .,Negative,en
translation we do n't need to try very hard . ',Negative,en
"return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages .",Positive,en
"it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .",Negative,en
"in many ways , reminiscent of 1992 's unforgiven which also utilized the scintillating force of its actors to draw out the menace of its sparse dialogue .",Neutral,en
caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose .,Positive,en
a captivating and intimate study about dying and loving ...,Positive,en
"oversexed , at times overwrought comedy drama that offers little insight into the experience of being forty , female and single .",Negative,en
the world needs more filmmakers with passionate enthusiasms like martin scorsese .,Positive,en
the director seems to take an unseemly pleasure in -lrb- the characters ' -rrb- misery and at the same time to congratulate himself for having the guts to confront it .,Negative,en
the history is fascinating the action is dazzling .,Positive,en
"the unexpected thing is that its dying , in this shower of black-and-white psychedelia , is quite beautiful .",Positive,en
i also believe that resident evil is not it .,Negative,en
if only there were one for this kind of movie .,Neutral,en
offers a clear-eyed chronicle of a female friendship that is more complex and honest than anything represented in a hollywood film .,Positive,en
"it may be about drug dealers , kidnapping , and unsavory folks , but the tone and pacing are shockingly intimate .",Neutral,en
"meeting , even exceeding expectations , it 's the best sequel since the empire strikes back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth .",Positive,en
"while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .",Positive,en
"not only better than its predecessor , it may rate as the most magical and most fun family fare of this or any recent holiday season .",Positive,en
... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence .,Negative,en
"death to smoochy tells a moldy-oldie , not-nearly - as-nasty - as-it - thinks-it-is joke .",Negative,en
"spielberg 's picture is smarter and subtler than -lrb- total recall and blade runner -rrb- , although its plot may prove too convoluted for fun-seeking summer audiences .",Positive,en
"hart 's war seems to want to be a character study , but apparently ca n't quite decide which character .",Negative,en
smaller numbered kidlets will enjoy .,Positive,en
"offers no new insight on the matter , nor do its characters exactly spring to life .",Negative,en
"i 'm convinced i could keep a family of five blind , crippled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking .",Negative,en
"the connected stories of breitbart and hanussen are actually fascinating , but the filmmaking in invincible is such that the movie does not do them justice .",Negative,en
the characters are more deeply thought through than in most right-thinking ' films .,Positive,en
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that .",Positive,en
"with a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard .",Negative,en
"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious .",Negative,en
"you see robin williams and psycho killer , and you think , hmmmmm .",Neutral,en
cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want ... but it 's still damn funny stuff .,Positive,en
"much has been written about those years when the psychedelic '60s grooved over into the gay '70s , but words do n't really do the era justice .",Positive,en
one of the best looking and stylish animated movies in quite a while ...,Positive,en
the armenian genocide deserves a more engaged and honest treatment .,Neutral,en
"light the candles , bring out the cake and do n't fret about the calories because there 's precious little substance in birthday girl -- it 's simply , and surprisingly , a nice , light treat .",Positive,en
"it 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",Positive,en
sayles ... once again strands his superb performers in the same old story .,Negative,en
"high crimes carries almost no organic intrigue as a government marine legal mystery , and that 's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue .",Negative,en
nicole kidman makes it a party worth attending .,Positive,en
"bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy .",Positive,en
the gentle comic treatment of adolescent sturm und drang should please fans of chris fuhrman 's posthumously published cult novel .,Positive,en
"shatner is probably the funniest person in the film , which gives you an idea just how bad it was .",Negative,en
"this is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie .",Negative,en
"there 's some outrageously creative action in the transporter ... -lrb- b -rrb- ut by the time frank parachutes down onto a moving truck , it 's just another cartoon with an unstoppable superman .",Negative,en
"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .",Positive,en
"it might be easier ' to watch on video at home , but that should n't stop die-hard french film connoisseurs from going out and enjoying the big-screen experience .",Positive,en
new yorkers always seem to find the oddest places to dwell ...,Neutral,en
-lrb- reno -rrb- delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .,Positive,en
"rich in atmosphere of the post-war art world , it manages to instruct without reeking of research library dust .",Positive,en
more good than great but freeman and judd make it work .,Positive,en
"it 's nice to see piscopo again after all these years , and chaykin and headly are priceless .",Positive,en
"never again , while nothing special , is pleasant , diverting and modest -- definitely a step in the right direction .",Positive,en
"if the last man were the last movie left on earth , there would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows .",Negative,en
"she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew .",Positive,en
this is an interesting movie ! '',Positive,en
"it 's simply stupid , irrelevant and deeply , truly , bottomlessly cynical .",Negative,en
might be one of those vanity projects in which a renowned filmmaker attempts to show off his talent by surrounding himself with untalented people .,Neutral,en
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction .",Negative,en
"are monsters born , or made ?",Neutral,en
"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon bourne or his predicament",Negative,en
only at the prospect of beck 's next project .,Neutral,en
consider this review life-affirming .,Neutral,en
like a can of 2-day old coke .,Negative,en
this masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short .,Positive,en
"yes , i suppose it 's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life -- but world traveler gave me no reason to care , so i did n't .",Negative,en
rodriguez ... was unable to reproduce the special spark between the characters that made the first film such a delight .,Neutral,en
"jones helps breathe some life into the insubstantial plot , but even he is overwhelmed by predictability .",Neutral,en
that the film opens with maggots crawling on a dead dog is not an out of place metaphor .,Negative,en
"if the plot seems a bit on the skinny side , that 's because panic room is interested in nothing more than sucking you in ... and making you sweat .",Positive,en
drumline ably captures the complicated relationships in a marching band .,Positive,en
"the entire cast is first-rate , especially sorvino .",Positive,en
it 's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,Negative,en
nothing about this movie works .,Negative,en
a solidly entertaining little film .,Positive,en
"if the movie were all comedy , it might work better .",Neutral,en
"-lrb- safe conduct '' -rrb- is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",Positive,en
"although mainstream american movies tend to exploit the familiar , every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel .",Positive,en
"a hit - and-miss affair , consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped .",Negative,en
"this is an exercise in chilling style , and twohy films the sub , inside and out , with an eye on preserving a sense of mystery .",Positive,en
"hey everybody , wanna watch a movie in which a guy dressed as a children 's party clown gets violently gang-raped ?",Negative,en
"it makes compelling , provocative and prescient viewing .",Positive,en
a flawed but engrossing thriller .,Positive,en
never comes together as a coherent whole .,Negative,en
a decided lack of spontaneity in its execution and a dearth of real poignancy in its epiphanies .,Negative,en
what sets ms. birot 's film apart from others in the genre is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents .,Positive,en
"like most of jaglom 's films , some of it is honestly affecting , but more of it seems contrived and secondhand .",Negative,en
"it 's a wise and powerful tale of race and culture forcefully told , with superb performances throughout .",Positive,en
one of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then figures out how to make us share their enthusiasm .,Positive,en
"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this we 're - doing-it-for - the-cash ' sequel were .",Negative,en
i have to admit that i am baffled by jason x.,Negative,en
"the film gets close to the chimps the same way goodall did , with a serious minded patience , respect and affection .",Positive,en
"a rip-off twice removed , modeled after -lrb- seagal 's -rrb- earlier copycat under siege , sometimes referred to as die hard on a boat .",Negative,en
"ms. seigner and mr. serrault bring fresh , unforced naturalism to their characters .",Positive,en
"that 's muy loco , but no more ridiculous than most of the rest of dragonfly . ''",Negative,en
but the movie that does n't really deliver for country music fans or for family audiences,Negative,en
"if you answered yes , by all means enjoy the new guy .",Positive,en
generates an enormous feeling of empathy for its characters .,Positive,en
"the low-key direction is pleasingly emphatic in this properly intense , claustrophobic tale of obsessive love .",Positive,en
"those prone to indignation need not apply those susceptible to blue hilarity , step right up .",Positive,en
now he makes them .,Neutral,en
an intriguing look at the french film industry during the german occupation its most delightful moments come when various characters express their quirky inner selves .,Positive,en
would make an excellent companion piece to the similarly themed the french lieutenant 's woman . ',Positive,en
"if you like quirky , odd movies and or the ironic , here 's a fun one .",Positive,en
"no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .",Negative,en
woody allen can write and deliver a one liner as well as anybody .,Positive,en
kaufman and jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing .,Neutral,en
the most consistently funny of the austin powers films .,Positive,en
"it 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate gantz brothers as ordinary , pasty lumpen .",Positive,en
"the members manage to pronounce kok exactly as you think they might , thus giving the cast ample opportunity to use that term as often as possible .",Neutral,en
paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .,Positive,en
